parameters best mean S.D.
k2 1 1 0
k3 0.9901 0.9892 0.0085
k5 0.9998 0.9518 0.0546
k6 1e-04 1e-04 1e-04
k7 0.8802 0.9377 0.0555
k8 0.8002 0.8525 0.0504
k10 0.325 0.325 0
k11 0.9 0.9 0
k12 1 0.9884 0.0162
ki1 1 1 0
ki2 1 1 0
kn1 0.0909 0.0912 0.001
kn2 0 3e-04 5e-04
kn3 0.8282 0.8287 0.0067
kn4 0 0 1e-04
kn5 0.7 0.7 0
kn6 0 0 0
